Id,Date,DateLongDescription,DateShortDescription,DayLongName,DayShortName,MonthLongName,MonthShortName,CalendarDay,CalendarWeek,CalendarWeekStartDateId,CalendarWeekEndDateId,CalendarWeekStartDate,CalendarWeekEndDate,CalendarDayInWeek,CalendarMonth,CalendarMonthStartDateId,CalendarMonthEndDateId,CalendarMonthStartDate,CalendarMonthEndDate,CalendarNumberOfDaysInMonth,CalendarDayInMonth,CalendarQuarter,CalendarQuarterStartDateId,CalendarQuarterEndDateId,CalendarQuarterStartDate,CalendarQuarterEndDate,CalendarNumberOfDaysInQuarter,CalendarDayInQuarter,CalendarYear,CalendarYearStartDateId,CalendarYearEndDateId,CalendarYearStartDate,CalendarYearEndDate,CalendarNumberOfDaysInYear
"1","2021-01-01","Friday, January 1, 2021","Jan 1, 2021","Friday","Fri","January","Jan","1","53","undefined","3","2020-12-28","2021-01-03","5","1","1","31","2021-01-01","2021-01-31","31","1","1","1","231","2021-01-01","2021-03-31","90","1","2021","1","1131","2021-01-01","2021-12-31","365"
"2","2021-01-02","Saturday, January 2, 2021","Jan 2, 2021","Saturday","Sat","January","Jan","2","53","undefined","3","2020-12-28","2021-01-03","6","1","1","31","2021-01-01","2021-01-31","31","2","1","1","231","2021-01-01","2021-03-31","90","2","2021","1","1131","2021-01-01","2021-12-31","365"
"3","2021-01-03","Sunday, January 3, 2021","Jan 3, 2021","Sunday","Sun","January","Jan","3","53","undefined","3","2020-12-28","2021-01-03","7","1","1","31","2021-01-01","2021-01-31","31","3","1","1","231","2021-01-01","2021-03-31","90","3","2021","1","1131","2021-01-01","2021-12-31","365"
"4","2021-01-04","Monday, January 4, 2021","Jan 4, 2021","Monday","Mon","January","Jan","4","1","4","10","2021-01-04","2021-01-10","1","1","1","31","2021-01-01","2021-01-31","31","4","1","1","231","2021-01-01","2021-03-31","90","4","2021","1","1131","2021-01-01","2021-12-31","365"
"5","2021-01-05","Tuesday, January 5, 2021","Jan 5, 2021","Tuesday","Tue","January","Jan","5","1","4","10","2021-01-04","2021-01-10","2","1","1","31","2021-01-01","2021-01-31","31","5","1","1","231","2021-01-01","2021-03-31","90","5","2021","1","1131","2021-01-01","2021-12-31","365"
"6","2021-01-06","Wednesday, January 6, 2021","Jan 6, 2021","Wednesday","Wed","January","Jan","6","1","4","10","2021-01-04","2021-01-10","3","1","1","31","2021-01-01","2021-01-31","31","6","1","1","231","2021-01-01","2021-03-31","90","6","2021","1","1131","2021-01-01","2021-12-31","365"
"7","2021-01-07","Thursday, January 7, 2021","Jan 7, 2021","Thursday","Thu","January","Jan","7","1","4","10","2021-01-04","2021-01-10","4","1","1","31","2021-01-01","2021-01-31","31","7","1","1","231","2021-01-01","2021-03-31","90","7","2021","1","1131","2021-01-01","2021-12-31","365"
"8","2021-01-08","Friday, January 8, 2021","Jan 8, 2021","Friday","Fri","January","Jan","8","1","4","10","2021-01-04","2021-01-10","5","1","1","31","2021-01-01","2021-01-31","31","8","1","1","231","2021-01-01","2021-03-31","90","8","2021","1","1131","2021-01-01","2021-12-31","365"
"9","2021-01-09","Saturday, January 9, 2021","Jan 9, 2021","Saturday","Sat","January","Jan","9","1","4","10","2021-01-04","2021-01-10","6","1","1","31","2021-01-01","2021-01-31","31","9","1","1","231","2021-01-01","2021-03-31","90","9","2021","1","1131","2021-01-01","2021-12-31","365"
"10","2021-01-10","Sunday, January 10, 2021","Jan 10, 2021","Sunday","Sun","January","Jan","10","1","4","10","2021-01-04","2021-01-10","7","1","1","31","2021-01-01","2021-01-31","31","10","1","1","231","2021-01-01","2021-03-31","90","10","2021","1","1131","2021-01-01","2021-12-31","365"
"11","2021-01-11","Monday, January 11, 2021","Jan 11, 2021","Monday","Mon","January","Jan","11","2","11","17","2021-01-11","2021-01-17","1","1","1","31","2021-01-01","2021-01-31","31","11","1","1","231","2021-01-01","2021-03-31","90","11","2021","1","1131","2021-01-01","2021-12-31","365"
"12","2021-01-12","Tuesday, January 12, 2021","Jan 12, 2021","Tuesday","Tue","January","Jan","12","2","11","17","2021-01-11","2021-01-17","2","1","1","31","2021-01-01","2021-01-31","31","12","1","1","231","2021-01-01","2021-03-31","90","12","2021","1","1131","2021-01-01","2021-12-31","365"
"13","2021-01-13","Wednesday, January 13, 2021","Jan 13, 2021","Wednesday","Wed","January","Jan","13","2","11","17","2021-01-11","2021-01-17","3","1","1","31","2021-01-01","2021-01-31","31","13","1","1","231","2021-01-01","2021-03-31","90","13","2021","1","1131","2021-01-01","2021-12-31","365"
"14","2021-01-14","Thursday, January 14, 2021","Jan 14, 2021","Thursday","Thu","January","Jan","14","2","11","17","2021-01-11","2021-01-17","4","1","1","31","2021-01-01","2021-01-31","31","14","1","1","231","2021-01-01","2021-03-31","90","14","2021","1","1131","2021-01-01","2021-12-31","365"
"15","2021-01-15","Friday, January 15, 2021","Jan 15, 2021","Friday","Fri","January","Jan","15","2","11","17","2021-01-11","2021-01-17","5","1","1","31","2021-01-01","2021-01-31","31","15","1","1","231","2021-01-01","2021-03-31","90","15","2021","1","1131","2021-01-01","2021-12-31","365"
"16","2021-01-16","Saturday, January 16, 2021","Jan 16, 2021","Saturday","Sat","January","Jan","16","2","11","17","2021-01-11","2021-01-17","6","1","1","31","2021-01-01","2021-01-31","31","16","1","1","231","2021-01-01","2021-03-31","90","16","2021","1","1131","2021-01-01","2021-12-31","365"
